,Fungi_percent,AA13,AA9,CBM1,CBM18,CBM20,CBM42,CBM48,CE10,GH1,GH105,GH12,GH13,GH15,GH16,GH17,GH18,GH19,GH20,GH26,GH28,GH29,GH3,GH31,GH32,GH37,GH38,GH43,GH47,GH5,GH51,GH54,GH6,GH66,GH7,GH74,GH76,GH88,GH9,GH95,GT15,GT2,GT20,GT22,GT24,GT34,GT5,GT59,GT77,PL4
TP3L5,3.17767339,26.8468,0,0,66.00667,111.7442,0,0,0,11.8183,0,0,168.7767,0,0,0,82.12223,66.00667,11.2735,0,0,0,7.55822,45.5157,0,8.11238,0,0,0,33.95186,59.07379,0,1.56091,0,0,0,0,0,33.95186,0,0,0,0,0,7.05251,0,0,6.71373,0,0
TP3L13,57.78991748,49.7405,1457.66,1457.66,51.0414,109.01985,0,0,0,0,0,0,141.55385,0,0,8.56813,55.38002,51.0414,4.97309,0,0,0,2.5428,40.3435,0,2.56005,0,0,0,18.02755,48.851884,0,3.71825,0,0,0,0,0,18.02755,13.8455,0,0,0,0,18.0575,0,0,3.18535,9.68652,0
TP3L18,6.734275737,110.759,0,0,51.11265,188.2307,0,0,0,0,0,0,176.7072,0,0,0,60.27143,51.11265,5.16777,0,0,0,4.95439,62.89804,0,4.43378,0,0,0,38.57397,44.2356,0,6.43967,0,0,0,0,0,38.57397,0,0,0,0,0,14.7204,0,0,8.27511,2.09702,0
TP4L5,17.17123936,106.476,0,0,77.2414,176.9798,0,0,0,0,0,0,165.9019,0,0,2.99284,83.44434,77.2414,4.47114,0,0,0,14.13629,35.264,0,5.11479,0,0,0,10.89283,47.40984,0,5.57158,0,0,0,0,0,10.89283,0,0,0,0,0,0,0,0,3.99405,12.0956,0
TP4L13,3.046402808,43.2329,0,0,64.25903,114.2046,0,0,0,0,0,0,112.6861,0,0,0,73.30185,64.25903,9.6823,0,0,0,17.13076,59.3189,0,2.07678,0,0,0,17.29261,84.897294,0,1.50816,0,0,0,0,0,17.29261,0,0,0,0,0,5.17648,0,0,2.95287,1.96449,0
TP4L18,13.60513133,54.9234,1527.2,1527.2,98.3132,133.5024,0,0,0,0,0,0,133.7363,0,0,0,108.2972,98.3132,8.78605,0,0,0,9.53547,62.5568,0,2.8268,0,0,0,22.93921,57.79289,0,4.10568,0,0,0,0,0,22.93921,0,0,0,0,0,9.68791,0,0,4.67378,1.78264,0
TP5L13,9.236646589,75.3826,0,0,41.56149,122.87275,0,0,0,0,0,0,80.26085,0,0,0,46.0788,41.56149,1.62331,0,0,0,9.70178,55.3421,0,3.94859,0,0,0,17.08345,46.943506,0,7.07996,0,0,0,0,0,17.08345,11.2986,0,0,0,0,0,0,0,5.1988,0,0
TP5L5,4.108228144,50.4765,1472.93,1472.93,33.37006,110.10624,0,0,0,0,0,0,77.02394,0,0,0,46.11097,33.37006,2.35512,0,0,0,0,32.8377,0,12.1237,0,0,0,30.50214,23.01572,0,0,0,0,0,0,0,30.50214,4.09802,0,0,0,0,4.76091,0,0,7.36337,1.91136,0
TP6L5,8.039666088,18.1017,0,0,68.072554,96.6862,0,0,0,0,0,0,101.0407,0,0,0,82.648724,68.072554,2.53375,0,0,0,6.25337,58.1929,2.01561,13.41325,0,0,0,10.52265,46.96742,0,0,0,0,0,0,0,10.52265,8.81769,0,0,0,0,4.33899,0,0,8.11456,0,0
TP6L13,14.88869967,123.944,1193.67,1193.67,97.04522,193.5904,0,0,0,0,0,0,148.6616,0,0,0,111.7472,97.04522,8.6744,0,0,0,31.92255,79.06642,0,13.0241,0,0,0,21.78184,77.38241,0,4.05351,0,0,0,0,0,21.78184,3.77347,0,0,0,0,0,0,0,10.4177,1.75999,0
TP6L18,6.127630999,32.7193,0,0,82.73242,111.32903,0,0,0,0,0,0,175.57493,0,0,10.58207,103.66548,82.73242,3.43486,0,0,0,24.70464,85.1426,0,26.964,0,0,0,20.48908,74.47127,0,9.98726,0,0,0,0,0,20.48908,7.96909,0,0,0,0,1.10979,0,0,11.0004,5.57532,0
TP7L5,9.656940545,60.6364,1648.87,1648.87,59.68655,113.99529,0,0,0,0,0,0,84.00529,0,0,4.25088,69.8226,59.68655,7.07289,0,0,0,3.21317,77.6992,0,7.28197,0,0,0,24.1883,44.25792,0,1.76274,0,0,0,0,0,24.1883,4.92286,0,0,0,0,4.67934,0,0,0,0,0
TP8L13,7.662200813,81.2674,0,0,86.4003,153.9528,0,0,0,0,0,0,115.6259,0,0,34.09511,122.28949,86.4003,7.5835,0,0,0,25.07569,138.22756,1.50817,32.09779,0,0,0,25.40136,60.82024,0,3.54373,0,0,0,16.36153,0,24.10725,3.29891,0,0,0,9.64818,4.69739,0,0,3.03585,7.69325,0
TP8L5,28.70958289,81.0101,3652.15,3652.15,106.16289,135.1724,0,0,0,21.397,0,0,91.7365,0,0,18.81548,138.48897,106.16289,0,0,0,0,19.34384,104.09877,2.07258,20.46708,0,0,0,12.18622,29.2422,0,4.23902,0,0,0,0,0,12.18622,7.89232,0,10.6646,0,0,11.5808,0,0,3.63149,1.84054,0
TP8L18,31.34535952,46.5956,6.76416,6.76416,69.65764,109.69727,0,0,0,10.256,0,0,108.06067,0,0,9.80463,110.049051,69.65764,7.60914,0,0,0,17.25556,118.37261,1.75007,4.65215,0,0,0,18.71275,69.45473,0,6.7728,0,0,0,0,0,18.71275,3.78293,0,0,0,0,5.44832,0,0,7.09942,3.52881,0
TP9L13,33.71847572,40.5813,4185.5574,4185.5574,114.36974,99.15108,0,0,1.49298,0,0,0,159.19678,0,0,19.11293,143.09492,114.36974,2.02346,0,0,0,10.24846,76.54044,10.15632,33.711254,0,0,0,5.59362,47.89861,0,2.52147,0,0,0,11.7455,0,5.59362,10.5627,0,0,0,0,0,0,0,9.72045,1.64219,0
TP9L5,25.66297882,127.618,3.37032,3.37032,170.82889,177.9493,0,0,0,0,0,0,164.07071,0,0,10.94315,189.57433,170.82889,9.74353,0,0,0,43.35446,119.78777,8.18018,8.79107,0,3.97226,0,31.05167,44.7781,0,16.1888,0,0,0,0,0,31.05167,0,0,0,0,0,2.98435,0,0,4.35193,0,0
TP9L18,31.48867707,22.845,3661.91,3661.91,157.22522,88.6905,0,0,0,20.1133,0,0,152.99613,0,0,25.05174,174.77374,157.22522,3.19769,0,0,0,6.65077,76.63549,1.98362,57.897841,7.10279,0,0,25.458,27.991774,0,5.31294,0,0,0,0,0,9.9294,7.41884,0,20.0496,0,0,2.08357,0,0,3.41362,0,0
TP10L13,38.66610013,64.0146,2890.86695,2890.86695,62.32013,140.02149,0,0,0,0,0,0,168.60212,0,0,16.90276,157.146314,62.32013,7.34476,0,0,0,51.64767,57.97394,6.52531,54.11777,8.04778,0,0,8.51717,43.36321,0,4.96251,0,0,0,1.847,0,8.51717,3.46475,0,0,0,0,12.179397,0,0.699173,3.18847,0,0
TP10L5,61.63943812,15.7868,3731.29101,3731.29101,81.97598,74.46983,0,0,0,10.4243,0,0,145.70171,0,0,30.50379,154.85715,81.97598,4.41944,0,0,0,20.4431,91.343207,44.81735,20.65193,1.35352,0,0,13.6875,28.2455,0,8.26074,0,0,0,28.83449,0,12.17917,0,0,0,0,0,6.583466,0,0,3.53841,0,0
TP10L18,38.71848193,93.7462,5211.94,5211.94,84.973,128.64662,0,0,0,0,2.52091,0,87.54745,0,0,31.87373,94.1703,84.973,1.00938,0,0,0,30.117787,48.247095,12.90015,14.59398,0,0,0,0,27.38146,0,0,0,0,0,4.12071,0,0,3.51274,0,0,0,2.57059,0,0,0,2.70503,0,0
TP11L13,64.88646994,174.79929,13.60229,13.60229,123.86542,251.44397,4.23042,0,0,0,3.17478,5.46429,196.08811,3.60435,0,65.81564,148.49597,123.86542,8.03096,0,0,0,43.921691,96.7262,86.94534,30.59089,0,5.98681,0,32.194,45.873782,4.23042,17.1558,0,17.37212,0,29.60999,0,30.62775,11.9779,0,0,0,0,0.056417,0,6.39722,3.07459,1.86221,0
TP11L5,60.90381662,127.73496,4258.30906,4258.30906,129.01909,169.85514,0,0,0,3.73175,16.7827,3.49453,110.18092,0,0,188.75915,171.04527,129.01909,1.32985,0,0,0,83.76051,206.67084,100.81245,43.8374,6.43176,6.93951,0,13.52564,66.47424,0,10.62605,0,0,0,24.71598,0,9.89467,4.628,0,0,0,3.40423,4.88785,0,14.40433,5.40693,6.47567,8.44512
TP11L18,38.94679931,28.6645,20.66061,20.66061,140.24208,116.88711,0,0,0,0,0,0,216.8672,0,0,59.67046,160.16569,140.24208,8.02453,0,0,0,42.822904,114.529045,38.38558,20.57957,0,2.30826,0,30.5044,41.30761,0,19.9991,0,0,0,16.03879,0,30.5044,9.30871,0,0,0,0,8.70368,0,0,8.56642,2.17084,0
TP12L18,84.18990766,68.16177,7048.49762,7048.49762,23.89339,113.20748,0.956447,0,6.39526,4.236072,3.308539,1.14334,128.871998,3.93774,0,210.125982,51.224739,23.89339,15.66303,0,1.54126,1.515444,117.353118,267.213928,137.042734,63.684168,20.65445,58.85859,0.334225,27.398332,118.06929,0.956447,1.08437,0,19.689822,0,48.935705,0,12.739982,3.02838,0,0,0,0,16.588461,0,11.196191,8.30451,0.706235,11.0523
TP12L13,72.28806385,65.70552,91.26943,91.26943,47.10183,122.690627,0,0,4.29738,0,7.56606,8.89703,159.769987,11.06811,0,226.65548,86.814809,47.10183,10.06646,0,0,4.61065,106.826427,303.848806,180.06414,63.45713,5.68929,29.23984,0.525068,27.8255,105.886701,0,12.96819,0,20.85896,0,49.97205,0,11.9618,10.4006,0,0,4.99137,0,19.741743,0,0.966915,6.08105,0,0
TP12L5,85.82854156,151.48304,2805.29929,2805.29929,44.13367,190.1787,2.29934,0,13.15571,3.024215,13.9229,8.16558,229.286,7.33428,0,248.09856,69.91245,44.13367,16.85544,0,0,15.55781,120.721036,325.959952,208.5803,98.838028,24.55206,105.24836,3.078253,43.15636,133.240084,2.29934,17.04687,0,10.740611,0,38.21164,0,20.90455,2.57398,0,0,0,1.59627,7.713371,0,12.715757,4.01806,0,11.8799
TP13L13,97.6570935,78.47028,2438.117992,2438.117992,38.54125,102.13928,9.49834,0,7.46942,31.704062,10.88168,25.16754,187.405903,7.367793,0,263.164213,118.583951,38.54125,22.406889,0,0,10.815559,209.223025,257.727662,147.266774,127.18845,7.380015,43.24956,0.378952,56.322308,173.71355,9.49834,29.01174,0,32.80075,0,140.055695,0,40.755218,4.53436,0,0,0,5.02111,3.034538,0,13.122435,10.872832,0,12.016319
TP13L18,95.05036569,82.80969,2895.20319,2895.20319,61.06693,117.19985,4.74508,0,5.06315,28.49555,14.5244,64.08019,132.17959,8.69215,0,230.174,130.808988,61.06693,11.141116,0,4.93222,8.65865,254.34897,238.49797,124.045031,113.02174,12.6896,15.08496,0.376516,65.45815,100.487898,4.74508,43.09177,0,101.399,0,85.879516,0,49.21279,9.16385,0,0,0.894803,0,17.367311,0,13.16228,17.55295,0.795598,11.093236
TP13L5,88.66245166,164.67659,297.247082,297.247082,58.88395,204.32489,1.21885,0,14.56869,9.666459,2.67297,56.77885,259.717864,9.35565,0,435.21881,117.036665,58.88395,26.54118,0,0,5.77754,297.987244,500.889161,186.28321,122.48447,11.12955,43.4455,4.4408,59.32933,122.803294,1.21885,52.10525,0,99.71617,0,64.90539,0,38.51745,1.92961,0,0,1.01222,8.38718,4.27437,0,13.170475,9.18297,0,17.02679
TP14L5,95.91836735,80.23608,868.161373,868.161373,53.18362,116.17364,1.14613,0,3.84698,26.703269,9.67764,87.37459,143.03737,16.59141,0,309.98891,182.60641,53.18362,29.069714,0,1.84692,13.36298,340.258147,334.64113,170.71135,118.67961,18.96093,11.26613,0.801014,77.853941,174.174701,1.14613,109.21353,0,183.287799,0,78.667597,0,65.271161,3.82136,0,0,0,2.97269,17.854177,0,31.762354,2.031411,2.53888,16.683987
