Index,Description
Fungi_percent,Pcent
AA13,Other
AA9,PCWDE
CBM1,PCWDE
CBM18,FCW
CBM20,Other
CBM42,Other
CBM48,Other
CE10,Other
GH1,PCWDE
GH105,PCWDE
GH12,PCWDE
GH13,Other
GH15,Other
GH16,FCW
GH17,FCW
GH18,FCW
GH19,FCW
GH20,FCW
GH26,PCWDE-FCW
GH28,PCWDE
GH29,PCWDE
GH3,PCWDE-FCW
GH31,PCWDE
GH32,Other
GH37,Other
GH38,Other
GH43,PCWDE
GH47,Other
GH5,PCWDE-FCW
GH51,PCWDE
GH54,PCWDE
GH6,PCWDE
GH66,Other
GH7,PCWDE
GH74,PCWDE
GH76,FCW
GH88,PCWDE
GH9,PCWDE
GH95,PCWDE
GT15,Other
GT2,FCW
GT20,Other
GT22,Other
GT24,FCW
GT34,Other
GT5,Other
GT59,Other
GT77,Other
PL4,PCWDE
