ID_Trans,ID1,ID2,ID3,ID_cross,ID_OTU,Cultivar,Habitat,Timepiont,Treatment1,plot
SRR8742917_quant,SRR8742917,SRX5534989,A0615163L12,RTX430_Leaf_TP02_Control_12,TP2L12,RTX430,Leaf,TP02,Control,12
SRR8742918_quant,SRR8742918,SRX5534990,A0615163L20,RTX430_Leaf_TP02_Control_20,TP2L20,RTX430,Leaf,TP02,Control,20
SRR8742919_quant,SRR8742919,SRX5534991,A0615163L01,RTX430_Leaf_TP02_Control_1,TP2L1,RTX430,Leaf,TP02,Control,1
SRR8743018_quant,SRR8743018,SRX5535090,A0615163L11,BTX642_Leaf_TP02_Control_11,TP2L11,BTX642,Leaf,TP02,Control,11
SRR8743019_quant,SRR8743019,SRX5535091,A0615163L19,BTX642_Leaf_TP02_Control_19,TP2L19,BTX642,Leaf,TP02,Control,19
SRR8743020_quant,SRR8743020,SRX5535092,A0615163L02,BTX642_Leaf_TP02_Control_2,TP2L2,BTX642,Leaf,TP02,Control,2
SRR8743117_unmaped__quant,SRR8743117,SRX5535189,A0615163R12,RTX430_Root_TP02_Control_12,TP2R12,RTX430,Root,TP02,Control,12
SRR8743118_unmaped__quant,SRR8743118,SRX5535190,A0615163R20,RTX430_Root_TP02_Control_20,TP2R20,RTX430,Root,TP02,Control,20
SRR8743119_unmaped__quant,SRR8743119,SRX5535191,A0615163R01,RTX430_Root_TP02_Control_1,TP2R1,RTX430,Root,TP02,Control,1
SRR8743216_unmaped__quant,SRR8743216,SRX5535288,A0615163R11,BTX642_Root_TP02_Control_11,TP2R11,BTX642,Root,TP02,Control,11
SRR8743217_unmaped__quant,SRR8743217,SRX5535289,A0615163R19,BTX642_Root_TP02_Control_19,TP2R19,BTX642,Root,TP02,Control,19
SRR8743218_unmaped__quant,SRR8743218,SRX5535290,A0615163R02,BTX642_Root_TP02_Control_2,TP2R2,BTX642,Root,TP02,Control,2
SRR8742861_quant,SRR8742861,SRX5534933,A0622162L05,RTX430_Leaf_TP03_Pre_flowering_drought_5,TP3L5,RTX430,Leaf,TP03,Pre_flowering_drought,5
SRR8742862_quant,SRR8742862,SRX5534934,A0622162L13,RTX430_Leaf_TP03_Pre_flowering_drought_13,TP3L13,RTX430,Leaf,TP03,Pre_flowering_drought,13
SRR8742863_quant,SRR8742863,SRX5534935,A0622162L18,RTX430_Leaf_TP03_Pre_flowering_drought_18,TP3L18,RTX430,Leaf,TP03,Pre_flowering_drought,18
SRR8742920_quant,SRR8742920,SRX5534992,A0622162L12,RTX430_Leaf_TP03_Control_12,TP3L12,RTX430,Leaf,TP03,Control,12
SRR8742921_quant,SRR8742921,SRX5534993,A0622162L20,RTX430_Leaf_TP03_Control_20,TP3L20,RTX430,Leaf,TP03,Control,20
SRR8742922_quant,SRR8742922,SRX5534994,A0622162L01,RTX430_Leaf_TP03_Control_1,TP3L1,RTX430,Leaf,TP03,Control,1
SRR8742958_quant,SRR8742958,SRX5535030,A0622162L06,BTX642_Leaf_TP03_Pre_flowering_drought_6,TP3L6,BTX642,Leaf,TP03,Pre_flowering_drought,6
