mod.group.distances,Week,Treat,Compartment
0.3952304,2,Control,Leaf
0.38281949,3,Control,Leaf
0.401087072,4,Control,Leaf
0.426970469,5,Control,Leaf
0.330672948,6,Control,Leaf
0.211401972,7,Control,Leaf
0.237828445,8,Control,Leaf
0.204786329,9,Control,Leaf
0.18391125,10,Control,Leaf
0.170500424,11,Control,Leaf
0.13466607,12,Control,Leaf
0.1372275,13,Control,Leaf
0.091782992,14,Control,Leaf
0.149566598,15,Control,Leaf
0.123642412,17,Control,Leaf
0.374528265,3,Pre_flowering_drought,Leaf
0.411426995,4,Pre_flowering_drought,Leaf
0.269657741,5,Pre_flowering_drought,Leaf
0.29815623,6,Pre_flowering_drought,Leaf
0.21115802,7,Pre_flowering_drought,Leaf
0.274167377,8,Pre_flowering_drought,Leaf
0.278986473,9,Pre_flowering_drought,Leaf
0.245182937,10,Pre_flowering_drought,Leaf
0.226065378,11,Pre_flowering_drought,Leaf
0.175114157,12,Pre_flowering_drought,Leaf
0.151587276,13,Pre_flowering_drought,Leaf
0.157569528,14,Pre_flowering_drought,Leaf
0.143308519,15,Pre_flowering_drought,Leaf
0.099764198,16,Pre_flowering_drought,Leaf
0.14982289,17,Pre_flowering_drought,Leaf
0.195036393,9,Post_flowering_drought,Leaf
0.175315831,10,Post_flowering_drought,Leaf
0.234259256,11,Post_flowering_drought,Leaf
0.113711559,12,Post_flowering_drought,Leaf
0.166242218,13,Post_flowering_drought,Leaf
0.095279143,14,Post_flowering_drought,Leaf
0.149395651,15,Post_flowering_drought,Leaf
0.128154983,17,Post_flowering_drought,Leaf
