mod.group.distances,Week,Treat,Compartment
0.016776347,2,Control,Leaf
0.021492643,3,Control,Leaf
0.016828458,4,Control,Leaf
0.017077332,6,Control,Leaf
0.016947758,8,Control,Leaf
0.01706111,9,Control,Leaf
0.014121154,10,Control,Leaf
0.01455147,11,Control,Leaf
0.017274761,13,Control,Leaf
0.015561824,15,Control,Leaf
0.011360221,17,Control,Leaf
0.013961637,3,Pre_flowering_drought,Leaf
0.015120332,4,Pre_flowering_drought,Leaf
0.019331872,6,Pre_flowering_drought,Leaf
0.017375795,8,Pre_flowering_drought,Leaf
0.015568937,9,Pre_flowering_drought,Leaf
0.013318184,10,Pre_flowering_drought,Leaf
0.015278083,11,Pre_flowering_drought,Leaf
0.015799264,13,Pre_flowering_drought,Leaf
0.013463014,15,Pre_flowering_drought,Leaf
0.011932192,17,Pre_flowering_drought,Leaf
0.016034901,9,Post_flowering_drought,Leaf
0.016440468,10,Post_flowering_drought,Leaf
0.017868521,11,Post_flowering_drought,Leaf
0.018382571,13,Post_flowering_drought,Leaf
0.01809512,15,Post_flowering_drought,Leaf
0.02595626,17,Post_flowering_drought,Leaf
