mod.group.distances,Week,Treat,Compartment
0.157913159,2,Control,Leaf
0.143460177,3,Control,Leaf
0.14484898,4,Control,Leaf
0.163721382,5,Control,Leaf
0.151859244,6,Control,Leaf
0.151255861,7,Control,Leaf
0.196042022,8,Control,Leaf
0.324539284,9,Control,Leaf
0.271147767,10,Control,Leaf
0.217814905,11,Control,Leaf
0.179655121,12,Control,Leaf
0.177400015,13,Control,Leaf
0.11033741,14,Control,Leaf
0.170705923,15,Control,Leaf
0.13648721,17,Control,Leaf
0.134041373,3,Pre_flowering_drought,Leaf
0.141428556,4,Pre_flowering_drought,Leaf
0.149234082,5,Pre_flowering_drought,Leaf
0.134007966,6,Pre_flowering_drought,Leaf
0.12881777,7,Pre_flowering_drought,Leaf
0.18546829,8,Pre_flowering_drought,Leaf
0.196429158,9,Pre_flowering_drought,Leaf
0.220927507,10,Pre_flowering_drought,Leaf
0.245320278,11,Pre_flowering_drought,Leaf
0.253879331,12,Pre_flowering_drought,Leaf
0.240043807,13,Pre_flowering_drought,Leaf
0.180427448,14,Pre_flowering_drought,Leaf
0.212924274,15,Pre_flowering_drought,Leaf
0.183090418,16,Pre_flowering_drought,Leaf
0.171923369,17,Pre_flowering_drought,Leaf
0.258276591,9,Post_flowering_drought,Leaf
0.249058829,10,Post_flowering_drought,Leaf
0.204604937,11,Post_flowering_drought,Leaf
0.147882731,12,Post_flowering_drought,Leaf
0.174456049,13,Post_flowering_drought,Leaf
0.119543876,14,Post_flowering_drought,Leaf
0.152790624,15,Post_flowering_drought,Leaf
0.143861241,17,Post_flowering_drought,Leaf
