"","ID_OTU","Fungi_percent","ID.x","size_content","ID.y","GC_content","ID1","ID2","ID3","ID_cross","Cultivar","Habitat","Timepiont","Treatment1","plot"
"1","TP3L5",3.17767339,"TP3L5",2502.58658768132,"SRR8742861_quant",46.4171165906159,"SRR8742861","SRX5534933","A0622162L05","RTX430_Leaf_TP03_Pre_flowering_drought_5","RTX430","Leaf",3,"Pre_flowering_drought",5
"2","TP3L13",57.78991748,"TP3L13",2569.9100074504,"SRR8742862_quant",46.1896949098595,"SRR8742862","SRX5534934","A0622162L13","RTX430_Leaf_TP03_Pre_flowering_drought_13","RTX430","Leaf",3,"Pre_flowering_drought",13
"3","TP3L18",6.734275737,"TP3L18",2617.93482494204,"SRR8742863_quant",46.3183158149689,"SRR8742863","SRX5534935","A0622162L18","RTX430_Leaf_TP03_Pre_flowering_drought_18","RTX430","Leaf",3,"Pre_flowering_drought",18
"4","TP4L5",17.17123936,"TP4L5",2293.08704165144,"SRR8742864_quant",47.1773731205294,"SRR8742864","SRX5534936","A0629164L05","RTX430_Leaf_TP04_Pre_flowering_drought_5","RTX430","Leaf",4,"Pre_flowering_drought",5
"5","TP4L13",3.046402808,"TP4L13",2443.12122406606,"SRR8742865_quant",46.0341701726076,"SRR8742865","SRX5534937","A0629164L13","RTX430_Leaf_TP04_Pre_flowering_drought_13","RTX430","Leaf",4,"Pre_flowering_drought",13
"6","TP4L18",13.60513133,"TP4L18",2483.28470331805,"SRR8742866_quant",46.5569904450758,"SRR8742866","SRX5534938","A0629164L18","RTX430_Leaf_TP04_Pre_flowering_drought_18","RTX430","Leaf",4,"Pre_flowering_drought",18
"7","TP5L13",9.236646589,"TP5L13",2445.83909886112,"SRR8742867_quant",46.0306532521791,"SRR8742867","SRX5534939","A0706165L13","RTX430_Leaf_TP05_Pre_flowering_drought_13","RTX430","Leaf",5,"Pre_flowering_drought",13
"8","TP5L5",4.108228144,"TP5L5",2282.59023512839,"SRR8742868_quant",46.7762072107632,"SRR8742868","SRX5534940","A0706165L05","RTX430_Leaf_TP05_Pre_flowering_drought_5","RTX430","Leaf",5,"Pre_flowering_drought",5
"9","TP6L5",8.039666088,"TP6L5",2536.73555891211,"SRR8742869_quant",46.0800737307347,"SRR8742869","SRX5534941","A0713166L05","RTX430_Leaf_TP06_Pre_flowering_drought_5","RTX430","Leaf",6,"Pre_flowering_drought",5
"10","TP6L13",14.88869967,"TP6L13",2655.11937434026,"SRR8742870_quant",46.2680163649295,"SRR8742870","SRX5534942","A0713166L13","RTX430_Leaf_TP06_Pre_flowering_drought_13","RTX430","Leaf",6,"Pre_flowering_drought",13
"11","TP6L18",6.127630999,"TP6L18",2620.71045317631,"SRR8742871_quant",46.0203305573461,"SRR8742871","SRX5534943","A0713166L18","RTX430_Leaf_TP06_Pre_flowering_drought_18","RTX430","Leaf",6,"Pre_flowering_drought",18
"12","TP7L5",9.656940545,"TP7L5",2619.69839366823,"SRR8742872_quant",46.2539738827746,"SRR8742872","SRX5534944","A0720167L05","RTX430_Leaf_TP07_Pre_flowering_drought_5","RTX430","Leaf",7,"Pre_flowering_drought",5
"13","TP8L13",7.662200813,"TP8L13",2443.35936164462,"SRR8742873_quant",47.206354109384,"SRR8742873","SRX5534945","A0727168L13","RTX430_Leaf_TP08_Pre_flowering_drought_13","RTX430","Leaf",8,"Pre_flowering_drought",13
"14","TP8L5",28.70958289,"TP8L5",2524.36039703444,"SRR8742874_quant",47.4552542129653,"SRR8742874","SRX5534946","A0727168L05","RTX430_Leaf_TP08_Pre_flowering_drought_5","RTX430","Leaf",8,"Pre_flowering_drought",5
"15","TP8L18",31.34535952,"TP8L18",2187.9587477056,"SRR8742875_quant",47.0374865113452,"SRR8742875","SRX5534947","A0727168L18","RTX430_Leaf_TP08_Pre_flowering_drought_18","RTX430","Leaf",8,"Pre_flowering_drought",18
