,Fungi_percent,ID
TP3L5,3.17767339,TP3L5
TP3L13,57.78991748,TP3L13
TP3L18,6.734275737,TP3L18
TP4L5,17.17123936,TP4L5
TP4L13,3.046402808,TP4L13
TP4L18,13.60513133,TP4L18
TP5L13,9.236646589,TP5L13
TP5L5,4.108228144,TP5L5
TP6L5,8.039666088,TP6L5
TP6L13,14.88869967,TP6L13
TP6L18,6.127630999,TP6L18
TP7L5,9.656940545,TP7L5
TP8L13,7.662200813,TP8L13
TP8L5,28.70958289,TP8L5
TP8L18,31.34535952,TP8L18
TP9L13,33.71847572,TP9L13
TP9L5,25.66297882,TP9L5
TP9L18,31.48867707,TP9L18
TP10L13,38.66610013,TP10L13
TP10L5,61.63943812,TP10L5
TP10L18,38.71848193,TP10L18
TP11L13,64.88646994,TP11L13
TP11L5,60.90381662,TP11L5
TP11L18,38.94679931,TP11L18
TP12L18,84.18990766,TP12L18
TP12L13,72.28806385,TP12L13
TP12L5,85.82854156,TP12L5
TP13L13,97.6570935,TP13L13
TP13L18,95.05036569,TP13L18
TP13L5,88.66245166,TP13L5
TP14L5,95.91836735,TP14L5
TP15L5,92.63828415,TP15L5
TP16L5,94.74758621,TP16L5
TP17L13,92.23234185,TP17L13
TP17L5,98.04283198,TP17L5
TP17L18,97.50446325,TP17L18
TP9L3,55.41911202,TP9L3
TP9L22,54.48691901,TP9L22
TP9L16,51.29515419,TP9L16
TP10L3,65.19857323,TP10L3
TP10L22,80.88256657,TP10L22
TP10L16,41.66018095,TP10L16
TP11L3,87.83995231,TP11L3
TP11L22,68.5783711,TP11L22
TP11L16,71.86785635,TP11L16
TP12L22,95.20393568,TP12L22
TP13L16,95.51783228,TP13L16
TP13L3,95.59096686,TP13L3
TP13L22,95.81501888,TP13L22
TP14L22,95.16385722,TP14L22
TP15L3,93.5331825,TP15L3
TP15L16,95.24958468,TP15L16
TP15L22,96.65193297,TP15L22
TP17L3,94.59855799,TP17L3
TP17L16,97.44375523,TP17L16
TP17L22,96.97372374,TP17L22
TP2L12,6.591235632,TP2L12
TP2L20,11.67315175,TP2L20
TP2L1,11.71119955,TP2L1
TP3L12,6.534551977,TP3L12
TP3L20,3.928944619,TP3L20
TP3L1,12.73741983,TP3L1
TP4L12,2.333448994,TP4L12
TP4L20,13.84947905,TP4L20
TP4L1,4.522554867,TP4L1
TP5L1,3.690223435,TP5L1
TP5L12,10.02666159,TP5L12
TP5L20,16.88259109,TP5L20
TP6L12,13.30830474,TP6L12
TP6L20,15.39692172,TP6L20
TP6L1,7.717756906,TP6L1
TP7L12,18.10344828,TP7L12
TP8L20,30.76238835,TP8L20
TP8L12,22.46940148,TP8L12
TP8L1,20.61092908,TP8L1
TP9L12,63.64998777,TP9L12
TP9L20,46.94466931,TP9L20
TP9L1,47.88604879,TP9L1
TP10L20,90.44287468,TP10L20
TP10L12,89.14550335,TP10L12
TP10L1,78.8660257,TP10L1
TP11L20,93.2095607,TP11L20
TP11L12,94.62422635,TP11L12
TP11L1,99.78086194,TP11L1
