ID,observed_KO,Shannon_KO,Simpson_KO
TP10L1,26783,10.8917,0.9914
TP10L11,35197,12.4924,0.9973
TP10L12,41318,12.7842,0.9986
TP10L13,17155,10.1984,0.9932
TP10L14,14463,10.6177,0.9952
TP10L15,32434,11.9835,0.996
TP10L16,28328,10.4181,0.968
TP10L17,12050,10.583,0.9951
TP10L18,15466,8.4206,0.9741
TP10L19,38454,11.8162,0.9966
TP10L2,26731,11.3727,0.9936
TP10L20,55401,12.8647,0.9987
TP10L21,32751,12.4182,0.9979
TP10L22,29745,12.1738,0.9981
TP10L3,28508,11.7287,0.9963
TP10L4,32017,11.6952,0.9962
TP10L5,18515,10.1094,0.9921
TP10L6,18068,10.2899,0.9915
TP10R1,56956,12.4006,0.9944
TP10R11,66539,13.2088,0.9982
TP10R12,60745,12.33,0.9949
TP10R13,47751,11.9366,0.9935
TP10R14,66193,13.4999,0.999
TP10R15,67124,13.3495,0.9984
TP10R17,52506,13.0327,0.999
TP10R18,39814,11.5859,0.9939
TP10R19,43432,12.2675,0.9972
TP10R2,50477,12.4924,0.9972
TP10R20,64384,12.482,0.9959
TP10R21,57518,12.8831,0.998
TP10R22,73163,12.969,0.9969
TP10R3,57252,12.3176,0.9954
TP10R4,70692,13.6154,0.9988
TP10R5,49645,12.011,0.9939
TP10R6,49221,13.1661,0.9991
TP11L1,58330,12.7237,0.9968
TP11L11,45697,12.3989,0.9972
TP11L12,64658,13.2663,0.9988
TP11L13,22777,11.0861,0.9966
TP11L14,16173,10.9802,0.9967
TP11L15,48345,12.1909,0.9952
TP11L16,55524,13.3663,0.9971
TP11L17,17862,11.1552,0.9971
TP11L18,17299,10.7574,0.996
TP11L19,54406,12.8824,0.9982
TP11L2,43871,11.844,0.9943
TP11L20,71504,13.2633,0.9988
TP11L21,56003,12.9752,0.9985
TP11L22,63465,12.9778,0.9983
TP11L3,50686,13.0598,0.9991
TP11L4,59840,13.4807,0.9991
TP11L5,26139,10.8677,0.9935
TP11L6,16605,9.4315,0.9837
TP11R1,56184,12.4112,0.9952
TP11R11,86432,14.1247,0.9995
TP11R12,70787,12.9373,0.9963
TP11R13,62356,12.8456,0.9976
TP11R14,72911,13.7662,0.9994
TP11R15,63761,13.6635,0.9991
TP11R16,78587,13.3538,0.9982
TP11R17,70272,13.6201,0.9993
TP11R18,73318,13.2675,0.9983
TP11R19,66777,13.3024,0.9987
TP11R2,73881,13.0745,0.9985
TP11R20,77054,13.1893,0.9971
TP11R21,43234,12.4129,0.9981
TP11R22,87807,14.1616,0.9991
TP11R3,77627,13.1522,0.9972
TP11R4,91840,14.01,0.9992
TP11R5,79869,13.3852,0.9977
TP11R6,75025,13.8628,0.9994
TP12L1,80594,13.1998,0.9957
TP12L11,67754,13.2486,0.9978
TP12L12,75914,13.6954,0.999
TP12L13,42180,12.2814,0.9975
TP12L14,30947,12.2114,0.9972
TP12L17,28336,9.721,0.9751
TP12L18,46833,10.5743,0.9774
TP12L19,71888,12.4697,0.9906
TP12L20,81179,14.1291,0.9996
TP12L21,64548,13.7991,0.9995
TP12L22,61791,13.834,0.9996
TP12L5,46768,12.3047,0.9967
TP12L6,30823,10.7555,0.9903
TP12R11,79622,13.7464,0.9987
TP12R12,80534,13.691,0.9974
TP12R13,76890,13.1171,0.9973
TP12R14,95364,13.8274,0.9983
TP12R17,104333,14.4757,0.9996
TP12R18,89054,13.6116,0.9974
TP12R19,95003,13.8591,0.9985
TP12R2,106828,14.4871,0.9993
TP12R20,94051,13.5289,0.9972
TP12R21,76792,13.4371,0.9985
TP12R22,102281,13.945,0.9992
TP12R5,89456,13.7132,0.9979
TP12R6,91304,14.3988,0.9994
TP13L1,70742,13.9728,0.9995
TP13L11,74396,13.7427,0.9991
TP13L12,76921,13.7655,0.9991
TP13L13,56149,12.2394,0.9953
TP13L14,39071,10.1723,0.97
TP13L15,66435,13.4402,0.9986
TP13L16,89066,13.8821,0.9996
