Category,Description
Fungi_percent,Fungi
Genome_size,Fungi
Genome_GC,Fungi
Timepiont,Fungi
Transcript_size,Fungi
Transcript_GC,Fungi
OTU_disper,Fungi
Transcript_disper,Fungi
Gene_richness,Fungi
max_growth,Fungi
Growth_rate,Fungi
OTU_richness,Fungi
A,Fungi
B,Fungi
C,Fungi
D,Fungi
E,Fungi
F,Fungi
G,Fungi
H,Fungi
I,Fungi
J,Fungi
K,Fungi
L,Fungi
M,Fungi
N,Fungi
O,Fungi
P,Fungi
Q,Fungi
S,Fungi
T,Fungi
U,Fungi
V,Fungi
W,Fungi
Y,Fungi
Z,Fungi
OTU1Cladosporium,Fungi
OTU4Alternaria,Fungi
OTU15Ustilago,Fungi
OTU10Filobasidium,Fungi
OTU2Setophoma,Fungi
OTU26Sporobolomyces,Fungi
OTU11Epicoccum,Fungi
OTU24Cryptococcus,Fungi
OTU14Symmetrospora,Fungi
OTU27Alternaria,Fungi
OTU7Alternaria,Fungi
OTU50Filobasidiaceae,Fungi
OTU33Aureobasidium,Fungi
OTU5Acremonium,Fungi
OTU88Pseudozyma,Fungi
X1.3.diaminopropane,Metab
X1.4.D.xylobiose,Metab
X2.hydroxyglutaric.acid,Metab
X2.hydroxypyridine,Metab
X2.keto.l.gluconic.acid.,Metab
X3.4.dihydroxybenzoic.acid,Metab
X3.5.dimethoxy.4.hydroxycinnamic.acid..sinapic.acid.,Metab
X3.hydroxypyridine,Metab
X4.guanidinobutyric.acid,Metab
X4.hydroxy.3.methoxybenzoic.acid..vanillic.acid.,Metab
X4.hydroxybenzaldehyde,Metab
X4.hydroxybenzoic.acid,Metab
X4.hydroxyphenylacetic.acid,Metab
X4.hydroxypyridine,Metab
X5.O.coumaroyl.D.quinic.acid.,Metab
aconitic.acid,Metab
adenine,Metab
adenosine,Metab
allantoin,Metab
alpha.ketoglutaric.acid,Metab
benzoic.acid,Metab
beta.cyano.L.alanine,Metab
caffeic.acid,Metab
carbonate.ion,Metab
cellobiose,Metab
chlorogenic.acid,Metab
citraconic.acid,Metab
citric.acid,Metab
cycloleucine,Metab
dehydroalanine,Metab
dehydroascorbic.acid,Metab
D.fructose.6.phosphate,Metab
D.galactaric.acid,Metab
D.gluconic.acid,Metab
D.glucose,Metab
D.glucose.6.phosphate,Metab
D.glucuronic.acid,Metab
DL.3.aminoisobutyric.acid,Metab
DL.4.hydroxymandelic.acid,Metab
D.malic.acid,Metab
D.maltitol,Metab
D.mannitol,Metab
D.mannose,Metab
D.threitol,Metab
D.xylose,Metab
ethanolamine.,Metab
ferulic.acid,Metab
fructose,Metab
fumaric.acid,Metab
galactinol,Metab
galactitol,Metab
galactonic.acid,Metab
glucosylglycerol.,Metab
glyceric.acid,Metab
glycerol,Metab
glycerol.3.phosphate,Metab
glycine,Metab
glycolic.acid,Metab
hydroquinone,Metab
isomaltose,Metab
lactate,Metab
L.alanine,Metab
L.asparagine,Metab
L.aspartic.acid,Metab
L.cysteine,Metab
L.glutamic.acid,Metab
L.glutamine,Metab
L.homoserine,Metab
L.isoleucine,Metab
L.leucine,Metab
L.ornithine,Metab
L.phenylalanine,Metab
L.proline,Metab
L.pyroglutamic.acid,Metab
L.serine,Metab
L.threonine,Metab
L.tryptophan,Metab
L.tyrosine,Metab
L.valine,Metab
maleic.acid,Metab
maltose,Metab
melezitose,Metab
melibiose,Metab
methyl.phosphate.,Metab
methyl.beta.D.galactopyranoside,Metab
methylmaleic.acid.,Metab
methylsuccinic.acid.,Metab
mucic.acid,Metab
myo.inositol,Metab
N.N.dimethylglycine,Metab
nicotinic.acid,Metab
N.methylalanine,Metab
oxalic.acid,Metab
palmitic.acid,Metab
phosphate.ion,Metab
pipecolic.acid,Metab
porphine,Metab
propylene.glycol,Metab
pyruvic.acid,Metab
quinic.acid,Metab
raffinose,Metab
ribitol,Metab
ribose,Metab
sedoheptulose,Metab
shikimic.acid,Metab
succinic.acid,Metab
succinic.anhydride.,Metab
sucrose,Metab
thymine,Metab
trehalose,Metab
uracil,Metab
xylitol,Metab
