"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","Titan","order","sample.id"
"OTU2Setophoma",7.5,8,112,1,82.19,0.001001001001001,14.2,7,7.5,8,9,9,1,1,14.3176068761123,"z-",1,"OTU2Setophoma"
"OTU5Acremonium",8,9,105,1,77.81,0.001001001001001,15.09,8,8,9,9,9.5,1,1,15.307950419343,"z-",2,"OTU5Acremonium"
"OTU6Fusarium",6,6,107,1,77.5,0.001001001001001,13.4,6,6,8,9,9,1,1,13.523328590553,"z-",3,"OTU6Fusarium"
"OTU18Gibberella",7,7,97,1,67.67,0.001001001001001,11.28,6,6,7,8,9,1,1,11.2910541548883,"z-",4,"OTU18Gibberella"
"OTU16Fusarium",7,7,61,1,68.59,0.001001001001001,16.56,6,6,7,7.5,8,1,1,16.4616410397837,"z-",5,"OTU16Fusarium"
"OTU17Acrophialophora",6,6,44,1,58.16,0.001001001001001,15.85,6,6,6.5,7.5,8,1,1,16.1437787529508,"z-",6,"OTU17Acrophialophora"
"OTU31Chaetomium",7,7,58,1,74.37,0.001001001001001,20.22,6.5,7,7.5,8,8,1,1,19.9110006997239,"z-",7,"OTU31Chaetomium"
"OTU32Fusarium",6,6,59,1,65.17,0.001001001001001,15.87,6,6,7,8,8,1,1,15.7686727005046,"z-",8,"OTU32Fusarium"
"OTU12Talaromyces",7,8,54,1,62.66,0.001001001001001,17.49,6,7,8,8,8,1,1,17.2820373297013,"z-",9,"OTU12Talaromyces"
"OTU28Chaetomium",6,6,45,1,60.51,0.001001001001001,17.26,6,6,7,8,8,1,1,16.4452902121766,"z-",10,"OTU28Chaetomium"
"OTU7Alternaria",17,11,189,1,64.84,0.001001001001001,7.55,9,9.5,10,12,13,1,1,7.70336687205209,"z-",11,"OTU7Alternaria"
"OTU8Agaricomycetes",7.5,8,37,1,44.62,0.001001001001001,13.29,6.5,7,7.5,8,8,1,1,13.4339932870827,"z-",12,"OTU8Agaricomycetes"
"OTU19Sarocladium",6.5,7,53,1,66.17,0.001001001001001,17.78,6,6,7,8,8,1,1,17.9161910884034,"z-",13,"OTU19Sarocladium"
"OTU35Myrothecium",7,7,60,1,64.15,0.001001001001001,16.4,7,7,8,8.5,9,1,1,16.2385449057717,"z-",14,"OTU35Myrothecium"
"OTU20Xylariales",7,7,58,1,72.43,0.001001001001001,19.54,6.5,7,7.5,8,8,1,1,19.3090777708051,"z-",15,"OTU20Xylariales"
"OTU9Meruliaceae",6,6,28,1,28.64,0.001001001001001,7.41,6,6,8,11,11.5,1,1,8.41925032217709,"z-",16,"OTU9Meruliaceae"
"OTU22Periconia",6,8,46,1,57.72,0.001001001001001,16.72,6,6,7.5,8,8,1,1,16.3655735189489,"z-",17,"OTU22Periconia"
"OTU13Preussia",6,6,27,1,34.24,0.001001001001001,11.27,6,6,6.5,7,7.5,1,1,11.502184946402,"z-",18,"OTU13Preussia"
"OTU86Acrophialophora",6,6,23,1,31.26,0.001001001001001,10.27,6,6,6.5,7,9,1,1,10.2983912197251,"z-",19,"OTU86Acrophialophora"
"OTU34Stachybotrys",6.5,7,45,1,61.96,0.001001001001001,18.27,6,6,7,8,8,1,1,18.3698154581778,"z-",20,"OTU34Stachybotrys"
"OTU23Stachybotrys",3,4,23,1,54.23,0.001001001001001,12.55,3,3,3.5,6.5,7,1,1,12.45455036208,"z-",21,"OTU23Stachybotrys"
"OTU41Fusarium",7,7.5,46,1,49.14,0.001001001001001,13.22,6,6.5,7.5,8,8,1,1,13.295163956697,"z-",22,"OTU41Fusarium"
"OTU59Chaetomium",6,6.5,26,1,33.71,0.001001001001001,10.48,6,6,6.5,7,7.5,1,1,11.1639135517582,"z-",23,"OTU59Chaetomium"
"OTU65Corynascus",7,7,30,1,39.79,0.001001001001001,13.06,6,6,7.5,8,8,1,1,12.546127994256,"z-",24,"OTU65Corynascus"
"OTU40Acremonium",9,9,45,1,38.41,0.001001001001001,8.73,6,6.5,9,9.5,10,1,1,9.37821446722881,"z-",25,"OTU40Acremonium"
"OTU29Rhizopus",3,8,16,1,20.74,0.001001001001001,8.34,3,3,6,8,9,1,1,9.30271549814365,"z-",26,"OTU29Rhizopus"
"OTU73Trichocladium",3,6,23,1,38.75,0.001001001001001,13.33,5,5.5,6,7,8,1,1,13.6538856458085,"z-",27,"OTU73Trichocladium"
"OTU21Ascomycota",6,6,14,1,20.84,0.001001001001001,7.95,5,5,6,7,7,1,0.994,8.0823213973915,"z-",28,"OTU21Ascomycota"
"OTU81Schizothecium",7,7,17,1,26.76,0.001001001001001,10.51,6,6,7.5,8,8,1,1,10.9175098274394,"z-",29,"OTU81Schizothecium"
"OTU25Pleosporales",3,6,11,1,15.5,0.001001001001001,6.32,3,3.5,6,7,7,0.996,0.974,6.45077306274752,"z-",30,"OTU25Pleosporales"
"OTU37Zopfiella",3,6,12,1,20.76,0.001001001001001,9.22,3,4,6.5,8,9,1,1,9.50016652829762,"z-",31,"OTU37Zopfiella"
"OTU82Nectria",6,7,16,1,23.02,0.001001001001001,9.84,5,5.5,6,7,7,1,1,10.0755589925449,"z-",32,"OTU82Nectria"
"OTU106Sordariomycetes",6.5,8,22,1,34.04,0.001001001001001,13.24,6,6,7,8,8,1,1,14.0033014164199,"z-",33,"OTU106Sordariomycetes"
"OTU27Alternaria",3,3,179,1,72.16,0.001001001001001,5.21,3,3,4,9,10,0.976,0.994,5.59650541417637,"z-",34,"OTU27Alternaria"
"OTU46Thermomyces",3.5,4,9,1,18.56,0.003003003003003,5.75,3,3,3,9,9,1,0.976,7.5257695118584,"z-",35,"OTU46Thermomyces"
"OTU51Rhizophagus",6,6,13,1,17.57,0.001001001001001,6.78,3,4,6,7,7,0.996,0.978,6.74700747498504,"z-",36,"OTU51Rhizophagus"
"OTU122Talaromyces",4,5,9,1,22.43,0.001001001001001,9.74,4,4,4.5,5,5,1,0.996,9.88215346823056,"z-",37,"OTU122Talaromyces"
"OTU70Claroideoglomus",3,5,8,1,14.37,0.002002002002002,6.2,3,3.45,5,6,11,0.998,0.95,6.90065934690683,"z-",38,"OTU70Claroideoglomus"
"OTU170Fungi",6,6,10,1,16.16,0.001001001001001,6.89,5,5,6,7,7,1,0.988,7.22403909987043,"z-",39,"OTU170Fungi"
"OTU52Mortierella",4,6,12,1,16.54,0.001001001001001,6.74,3,4,6,7,11,1,0.988,6.85841438513405,"z-",40,"OTU52Mortierella"
"OTU402Sordariomycetes",5,6,11,1,17.97,0.001001001001001,8.02,5,5,6,7,7,1,0.996,8.03658779142221,"z-",41,"OTU402Sordariomycetes"
"OTU56Agaricomycetes",7,7.5,19,1,25.68,0.001001001001001,10.22,6,6,7,8,8,1,1,10.2437595856806,"z-",42,"OTU56Agaricomycetes"
"OTU55Panaeolus",7,7,21,1,36.08,0.001001001001001,14.81,5.5,6,7,8,8,1,1,14.728616135002,"z-",43,"OTU55Panaeolus"
"OTU91Schizothecium",3,5.5,16,1,26.04,0.001001001001001,9.16,3,3,5,7,7.5,1,1,10.2593765436424,"z-",44,"OTU91Schizothecium"
"OTU42Actinomucor",3,3,5,1,22.67,0.001001001001001,8.93,3,3,3.5,7.5,8,0.992,0.958,7.77540079119401,"z-",45,"OTU42Actinomucor"
"OTU39Sordariales",6.5,6.5,13,1,18.09,0.001001001001001,7.41,3,3,6,7,7.5,1,0.994,7.42120040866385,"z-",46,"OTU39Sordariales"
"OTU109Beauveria",6,6,22,1,34.76,0.001001001001001,12.45,5,6,6.5,8,8,1,1,11.4887442784988,"z-",47,"OTU109Beauveria"
"OTU96Chaetomium",6,7,15,1,21.5,0.001001001001001,9.21,5,6,6,7,7,1,1,9.26338989459981,"z-",48,"OTU96Chaetomium"
"OTU97Penicillium",6.5,8,11,1,14.37,0.001001001001001,6.75,6,6,8,9,9,1,0.994,6.79387299600433,"z-",49,"OTU97Penicillium"
"OTU322Fusarium",3.5,6,18,1,26.69,0.001001001001001,10.11,3,3.5,6,7,7,0.998,0.998,10.1158177461383,"z-",50,"OTU322Fusarium"
"OTU101Aspergillus",5,5,13,1,18.59,0.001001001001001,6.86,4,4,5,11,11,1,0.998,7.56689869233761,"z-",51,"OTU101Aspergillus"
"OTU53Stemphylium",9,10,151,1,61.35,0.001001001001001,7.51,8.475,8.5,9,12,12,1,1,7.54903735066495,"z-",52,"OTU53Stemphylium"
"OTU173Emericellopsis",3,6.5,9,1,15.1,0.001001001001001,7.34,3.5,4,6,7,7,0.998,0.986,8.13481476878584,"z-",53,"OTU173Emericellopsis"
"OTU197Fungi",8,8,12,1,14.42,0.002002002002002,6.16,3,3.95,7,8,9,0.994,0.954,6.01332221717578,"z-",54,"OTU197Fungi"
"OTU166Rhizophagus",6,8,10,1,13.74,0.001001001001001,6.93,6,6,7.5,8,8.5,1,0.994,7.38886470012159,"z-",55,"OTU166Rhizophagus"
"OTU84Preussia",8,9,14,1,16.08,0.001001001001001,7.45,5,6,8,9,9,1,1,7.92055841526485,"z-",56,"OTU84Preussia"
"OTU78Triparticalcar",6.5,6.5,5,1,9.62,0.001001001001001,6.1,4.5,5,6,7,7,0.992,0.96,6.35258618526899,"z-",57,"OTU78Triparticalcar"
"OTU184Fusarium",5,5,5,1,10.51,0.001001001001001,5.98,4,5,6,8,8,0.992,0.956,6.64241067889259,"z-",58,"OTU184Fusarium"
"OTU136Auriculariales",8,8,14,1,20.63,0.001001001001001,9.27,6,6,8,8,9,1,1,9.44629285774456,"z-",59,"OTU136Auriculariales"
"OTU99Marasmius",3,3,6,1,19.29,0.001001001001001,7.79,3,3,6,7,7,0.998,0.978,7.92230406007006,"z-",60,"OTU99Marasmius"
"OTU397Ascochyta",3,4,106,1,64.62,0.001001001001001,6.61,3,4,8,12,12.5,1,1,7.29312875291271,"z-",61,"OTU397Ascochyta"
"OTU212Sordariomycetes",3,6,7,1,14.89,0.001001001001001,8.15,3.5,4,6,7,7,1,0.99,8.01318043042097,"z-",62,"OTU212Sordariomycetes"
"OTU117Spororminula",4,8,17,1,17.3,0.001001001001001,6.22,3.5,4,9,11,11,1,0.996,6.54493248571851,"z-",63,"OTU117Spororminula"
"OTU112Curvularia",13,10.5,26,1,16.57,0.001001001001001,4.51,9.975,10,11,13,13,0.994,0.996,5.22308726290381,"z-",64,"OTU112Curvularia"
"OTU72Conocybe",3,3,5,1,27.03,0.001001001001001,9.31,3,3,4,6,6.5,0.994,0.964,7.88850770066743,"z-",65,"OTU72Conocybe"
"OTU232Cristinia",6,6,6,1,13.64,0.001001001001001,7.88,4,4,5,6.5,7,0.998,0.974,8.2768754404922,"z-",66,"OTU232Cristinia"
"OTU475Stemphylium",4,10,32,1,24.25,0.001001001001001,6.06,3,3,10,11,11,1,1,6.55971635999043,"z-",67,"OTU475Stemphylium"
"OTU257Sporisorium",6,7.5,49,1,60.06,0.001001001001001,17.15,6,6,7,8.05000000000001,9,1,1,17.1861573634718,"z-",68,"OTU257Sporisorium"
"OTU211Cryptococcus",3,3,23,1,26.94,0.00800800800800801,3.72,3,3,10,12,13,0.988,0.956,4.57124571459287,"z-",69,"OTU211Cryptococcus"
"OTU289Coprinellus",4,9,43,1,43.86,0.001001001001001,12.51,4,4,8,9,10,1,1,13.3970207930509,"z-",70,"OTU289Coprinellus"
"OTU243Bipolaris",5,9,47,1,30.14,0.001001001001001,6.66,5,8,10,12,12.5,1,1,7.12706085179209,"z-",71,"OTU243Bipolaris"
"OTU351Ramularia",3,4,18,1,32.58,0.001001001001001,9.28,3,3,4,5,5,1,0.998,9.81946626416893,"z-",72,"OTU351Ramularia"
"OTU244Pseudopithomyces",3,8,23,1,18.14,0.001001001001001,5.35,3,3,6,11,11,1,0.998,7.03878214029423,"z-",73,"OTU244Pseudopithomyces"
"OTU310Monilinia",3,9,38,1,38.77,0.001001001001001,10.87,3,3,8,9,9,1,1,11.6569770023647,"z-",74,"OTU310Monilinia"
"OTU517Penicillium",3,4,9,1,29.44,0.001001001001001,10.94,3,3,3.5,5,5.5,1,0.998,10.8344550289611,"z-",75,"OTU517Penicillium"
"OTU389Ustilago",4,5,40,1,71.84,0.001001001001001,18.32,4,4,5,7.55000000000001,8,1,1,18.7213488637686,"z-",76,"OTU389Ustilago"
"OTU420Dothideomycetes",11,11,15,1,13.04,0.002002002002002,5.09,6,6.5,10,11,11,1,0.994,6.06409010967828,"z-",77,"OTU420Dothideomycetes"
"OTU508Dothideomycetes",3,9,20,1,20.55,0.001001001001001,7.32,3,3,8,10,10,1,1,8.10736681773715,"z-",78,"OTU508Dothideomycetes"
"OTU454Hormonema",9,9,7,1,8.33,0.001001001001001,4.69,8,9,9,10,10,0.998,0.954,4.68939703496149,"z-",79,"OTU454Hormonema"
"OTU821Alternaria",3,8,10,1,13.42,0.001001001001001,6.28,3,3.5,8,9,9,1,0.998,7.06563573323164,"z-",80,"OTU821Alternaria"
"OTU563Ganoderma",3,8,11,1,11.66,0.002002002002002,5.28,3,3,8,10,10.5,1,0.996,6.51874020520665,"z-",81,"OTU563Ganoderma"
"OTU567Tranzschelia",3,3.5,15,1,47.89,0.001001001001001,13.5,3,3,3.5,4,5,1,1,14.1620919076354,"z-",82,"OTU567Tranzschelia"
"OTU769Podosphaera",3,3,8,1,58.24,0.001001001001001,20.32,3,3,3,4,4,1,0.998,17.0210844249068,"z-",83,"OTU769Podosphaera"
"OTU511Diplodia",6,9.5,10,1,11.63,0.001001001001001,5.84,5,5,9,9.5,10,1,0.994,6.61695903795273,"z-",84,"OTU511Diplodia"
"OTU599Fungi",6.5,7,10,1,16.54,0.001001001001001,8.22,6,6,6.5,7,7.5,0.998,0.99,8.44487215510735,"z-",85,"OTU599Fungi"
"OTU617Puccinia",3,3,10,1,54.2,0.001001001001001,15.81,3,3,3,4,4.5,1,1,15.5113949760299,"z-",86,"OTU617Puccinia"
"OTU448Podosphaera",4,4,10,1,44.51,0.001001001001001,16.77,3,3,4,4.5,4.5,1,0.998,16.8574110151015,"z-",87,"OTU448Podosphaera"
"OTU431Microstromatales",6,9,9,1,10.96,0.001001001001001,5.52,5,5,8,9,9,1,0.962,5.62501030145295,"z-",88,"OTU431Microstromatales"
"OTU531Erysiphe",3,3,10,1,43.46,0.001001001001001,15.22,3,3,3,4,4,1,0.998,14.0515376923999,"z-",89,"OTU531Erysiphe"
"OTU1154Pholiota",3,4,9,1,37.86,0.001001001001001,14.88,3,3,3.5,4,4.5,1,1,14.9836528730149,"z-",90,"OTU1154Pholiota"
"OTU777Ustilago",4,4.5,8,1,23.79,0.001001001001001,11.5,4,4,4.25,5,5,1,0.996,11.2045677201056,"z-",91,"OTU777Ustilago"
"OTU743Drechslera",4,6,7,1,11.2,0.003003003003003,5.75,3,4,6,7,10,1,0.956,7.02985590242388,"z-",92,"OTU743Drechslera"
"OTU1067Fungi",7.5,7.5,8,1,14.29,0.001001001001001,7.84,5.5,6,7,8,8,1,0.994,8.19220908216095,"z-",93,"OTU1067Fungi"
"OTU731Alanphillipsia",3.5,8,8,1,13.79,0.001001001001001,7.52,3,3,5,8,8,1,0.994,9.09430196072061,"z-",94,"OTU731Alanphillipsia"
"OTU1Cladosporium",7,8,196,2,69.74,0.001001001001001,18.87,6.5,6.5,7.5,8,9,1,1,19.0089554804354,"z+",95,"OTU1Cladosporium"
"OTU4Alternaria",7,7,196,2,65.35,0.001001001001001,13.58,6,6,7,8,8,1,1,13.6264983986855,"z+",96,"OTU4Alternaria"
"OTU10Filobasidium",9,9,161,2,87.72,0.001001001001001,19.26,8,8,9,9,9,1,1,18.8607484591366,"z+",97,"OTU10Filobasidium"
"OTU26Sporobolomyces",8,9,158,2,90.88,0.001001001001001,19.53,8,8,9,9.5,10,1,1,19.4594922931412,"z+",98,"OTU26Sporobolomyces"
"OTU14Symmetrospora",9,10,142,2,90.05,0.001001001001001,19.35,9,9.5,10,11,11,1,1,19.7519177551373,"z+",99,"OTU14Symmetrospora"
"OTU24Cryptococcus",8,8.5,155,2,85.07,0.001001001001001,17.86,8,8,9,10,10.525,1,1,18.4431169415752,"z+",100,"OTU24Cryptococcus"
"OTU50Filobasidiaceae",8,9,146,2,82.68,0.001001001001001,16.81,8,8,9,9.5,10,1,1,16.5808990293461,"z+",101,"OTU50Filobasidiaceae"
"OTU61Cryptococcus",9,9,106,2,60.29,0.001001001001001,11.71,8,8,9,10,10,1,1,11.8448268185227,"z+",102,"OTU61Cryptococcus"
"OTU43Cryptococcus",8,8.5,38,2,28.47,0.001001001001001,4.48,8,8,8.5,9,10,1,1,5.01076494670365,"z+",103,"OTU43Cryptococcus"
"OTU69Tremellomycetes",9,10,69,2,51.34,0.001001001001001,12.72,8.5,9,10,12,12,1,1,13.9149618823023,"z+",104,"OTU69Tremellomycetes"
"OTU90Rhodotorula",8.5,8.5,72,2,45.55,0.001001001001001,8.61,5,8,8.5,10,10,1,1,8.98817975672187,"z+",105,"OTU90Rhodotorula"
